"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","568","Successful Login","chromium","2026-09-05","passed","2026-09-05","","login_pom.spec.ts","",""
"","644","Login test for standard_user","chromium","2026-09-05","passed","2026-09-05","","login_ddt.spec.ts","",""
"","6","Date check","webkit","2026-09-05","passed","2026-09-05","","date.spec.ts","",""
"","1079","Checkout test","chromium","2026-09-05","passed","2026-09-05","","checkout.spec.ts","",""
"","2379","Cart number","firefox","2026-09-05","passed","2026-09-05","","inventory.spec.ts","",""
"","4325","Open and Close Modal window","webkit","2026-09-05","passed","2026-09-05","","popup.spec.ts","",""
"","6","Date check","firefox","2026-09-05","passed","2026-09-05","","date.spec.ts","",""
"","1491","Login test for locked_out_user","webkit","2026-09-05","passed","2026-09-05","","login_ddt.spec.ts","",""
"","892","Successful Login","firefox","2026-09-05","passed","2026-09-05","","login_pom.spec.ts","",""
"","956","Login test for","firefox","2026-09-05","passed","2026-09-05","","login_ddt.spec.ts","",""
"","675","Login test for locked_out_user","chromium","2026-09-05","passed","2026-09-05","","login_ddt.spec.ts","",""
"","8092","Open and Close Modal window","chromium","2026-09-05","passed","2026-09-05","","popup.spec.ts","",""
"","4899","Checkout test","webkit","2026-09-05","passed","2026-09-05","","checkout.spec.ts","",""
"","944","Login test for standard_user","firefox","2026-09-05","passed","2026-09-05","","login_ddt.spec.ts","",""
"","4129","Cart number","webkit","2026-09-05","passed","2026-09-05","","inventory.spec.ts","",""
"","1089","Cart number","chromium","2026-09-05","passed","2026-09-05","","inventory.spec.ts","",""
"","1369","Login page test using Factory","webkit","2026-09-05","passed","2026-09-05","","login_factory.spec.ts","",""
"","6","Date check","chromium","2026-09-05","passed","2026-09-05","","date.spec.ts","",""
"","2554","Checkout test","firefox","2026-09-05","passed","2026-09-05","","checkout.spec.ts","",""
"","1505","Successful Login","webkit","2026-09-05","passed","2026-09-05","","login_pom.spec.ts","",""
"","1363","Login test for","webkit","2026-09-05","passed","2026-09-05","","login_ddt.spec.ts","",""
"","1385","Login test for standard_user","webkit","2026-09-05","passed","2026-09-05","","login_ddt.spec.ts","",""
"","2509","Open and Close Modal window","firefox","2026-09-05","passed","2026-09-05","","popup.spec.ts","",""
"","607","Login page test using Factory","chromium","2026-09-05","passed","2026-09-05","","login_factory.spec.ts","",""
"","992","Login test for locked_out_user","firefox","2026-09-05","passed","2026-09-05","","login_ddt.spec.ts","",""
"","838","Login page test using Factory","firefox","2026-09-05","passed","2026-09-05","","login_factory.spec.ts","",""
"","614","Login test for","chromium","2026-09-05","passed","2026-09-05","","login_ddt.spec.ts","",""
